idx,x,y,timestamp
0,1863,3074,2025-09-12T15:35:30
0,1863,3074,2025-09-12T15:35:33
1,2004,3016,2025-09-12T15:35:33
0,1863,3074,2025-09-12T15:35:44
1,2004,3016,2025-09-12T15:35:44
2,2304,3013,2025-09-12T15:35:44
0,1863,3074,2025-09-12T15:35:46
1,2004,3016,2025-09-12T15:35:46
2,2304,3013,2025-09-12T15:35:46
3,2330,3065,2025-09-12T15:35:46
0,1863,3074,2025-09-12T15:35:48
1,2004,3016,2025-09-12T15:35:48
2,2304,3013,2025-09-12T15:35:48
3,2330,3065,2025-09-12T15:35:48
4,2404,3200,2025-09-12T15:35:48
0,1863,3074,2025-09-12T15:35:50
1,2004,3016,2025-09-12T15:35:50
2,2304,3013,2025-09-12T15:35:50
3,2330,3065,2025-09-12T15:35:50
4,2404,3200,2025-09-12T15:35:50
5,2430,3252,2025-09-12T15:35:50
0,1863,3074,2025-09-12T15:36:00
1,2004,3016,2025-09-12T15:36:00
2,2304,3013,2025-09-12T15:36:00
3,2330,3065,2025-09-12T15:36:00
4,2404,3200,2025-09-12T15:36:00
5,2430,3252,2025-09-12T15:36:00
6,2124,2494,2025-09-12T15:36:00
0,1863,3074,2025-09-12T15:36:02
1,2004,3016,2025-09-12T15:36:02
2,2304,3013,2025-09-12T15:36:02
3,2330,3065,2025-09-12T15:36:02
4,2404,3200,2025-09-12T15:36:02
5,2430,3252,2025-09-12T15:36:02
6,2124,2494,2025-09-12T15:36:02
7,2166,2543,2025-09-12T15:36:02
0,1863,3074,2025-09-12T15:36:04
1,2004,3016,2025-09-12T15:36:04
2,2304,3013,2025-09-12T15:36:04
3,2330,3065,2025-09-12T15:36:04
4,2404,3200,2025-09-12T15:36:04
5,2430,3252,2025-09-12T15:36:04
6,2124,2494,2025-09-12T15:36:04
7,2166,2543,2025-09-12T15:36:04
8,2224,2588,2025-09-12T15:36:04
0,1863,3074,2025-09-12T15:36:14
1,2004,3016,2025-09-12T15:36:14
2,2304,3013,2025-09-12T15:36:14
3,2330,3065,2025-09-12T15:36:14
4,2404,3200,2025-09-12T15:36:14
5,2430,3252,2025-09-12T15:36:14
6,2124,2494,2025-09-12T15:36:14
7,2166,2543,2025-09-12T15:36:14
8,2224,2588,2025-09-12T15:36:14
9,2285,2620,2025-09-12T15:36:14
0,1863,3074,2025-09-12T15:36:31
1,2004,3016,2025-09-12T15:36:31
2,2304,3013,2025-09-12T15:36:31
3,2330,3065,2025-09-12T15:36:31
4,2404,3200,2025-09-12T15:36:31
5,2430,3252,2025-09-12T15:36:31
6,2124,2494,2025-09-12T15:36:31
7,2166,2543,2025-09-12T15:36:31
8,2224,2588,2025-09-12T15:36:31
9,2285,2620,2025-09-12T15:36:31
10,2436,2820,2025-09-12T15:36:31
0,1863,3074,2025-09-12T15:36:33
1,2004,3016,2025-09-12T15:36:33
2,2304,3013,2025-09-12T15:36:33
3,2330,3065,2025-09-12T15:36:33
4,2404,3200,2025-09-12T15:36:33
5,2430,3252,2025-09-12T15:36:33
6,2124,2494,2025-09-12T15:36:33
7,2166,2543,2025-09-12T15:36:33
8,2224,2588,2025-09-12T15:36:33
9,2285,2620,2025-09-12T15:36:33
10,2436,2820,2025-09-12T15:36:33
11,2446,2891,2025-09-12T15:36:33
0,1863,3074,2025-09-12T15:36:35
1,2004,3016,2025-09-12T15:36:35
2,2304,3013,2025-09-12T15:36:35
3,2330,3065,2025-09-12T15:36:35
4,2404,3200,2025-09-12T15:36:35
5,2430,3252,2025-09-12T15:36:35
6,2124,2494,2025-09-12T15:36:35
7,2166,2543,2025-09-12T15:36:35
8,2224,2588,2025-09-12T15:36:35
9,2285,2620,2025-09-12T15:36:35
10,2436,2820,2025-09-12T15:36:35
11,2446,2891,2025-09-12T15:36:35
12,2453,2955,2025-09-12T15:36:35
0,1863,3074,2025-09-12T15:36:42
1,2004,3016,2025-09-12T15:36:42
2,2304,3013,2025-09-12T15:36:42
3,2330,3065,2025-09-12T15:36:42
4,2404,3200,2025-09-12T15:36:42
5,2430,3252,2025-09-12T15:36:42
6,2124,2494,2025-09-12T15:36:42
7,2166,2543,2025-09-12T15:36:42
8,2224,2588,2025-09-12T15:36:42
9,2285,2620,2025-09-12T15:36:42
10,2436,2820,2025-09-12T15:36:42
11,2446,2891,2025-09-12T15:36:42
12,2453,2955,2025-09-12T15:36:42
13,2456,3023,2025-09-12T15:36:42
0,1863,3074,2025-09-12T15:36:45
1,2004,3016,2025-09-12T15:36:45
2,2304,3013,2025-09-12T15:36:45
3,2330,3065,2025-09-12T15:36:45
4,2404,3200,2025-09-12T15:36:45
5,2430,3252,2025-09-12T15:36:45
6,2124,2494,2025-09-12T15:36:45
7,2166,2543,2025-09-12T15:36:45
8,2224,2588,2025-09-12T15:36:45
9,2285,2620,2025-09-12T15:36:45
10,2436,2820,2025-09-12T15:36:45
